,Date,PM,Latitude,Longitude,Dataset,Site Location #
0,1/1/17,11.2,36.78538,-119.77321,Monitoring Stations,1
1,1/2/17,14.7,36.78538,-119.77321,Monitoring Stations,1
2,1/3/17,4.4,36.78538,-119.77321,Monitoring Stations,1
3,1/4/17,1,36.78538,-119.77321,Monitoring Stations,1
4,1/5/17,3.7,36.78538,-119.77321,Monitoring Stations,1
5,1/6/17,17,36.78538,-119.77321,Monitoring Stations,1
6,1/7/17,8.1,36.78538,-119.77321,Monitoring Stations,1
7,1/8/17,2,36.78538,-119.77321,Monitoring Stations,1
8,1/9/17,2.2,36.78538,-119.77321,Monitoring Stations,1
9,1/10/17,2.9,36.78538,-119.77321,Monitoring Stations,1
10,1/11/17,2.6,36.78538,-119.77321,Monitoring Stations,1
11,1/12/17,4,36.78538,-119.77321,Monitoring Stations,1
12,1/13/17,6.6,36.78538,-119.77321,Monitoring Stations,1
13,1/14/17,16.1,36.78538,-119.77321,Monitoring Stations,1
14,1/15/17,8.1,36.78538,-119.77321,Monitoring Stations,1
15,1/16/17,25.9,36.78538,-119.77321,Monitoring Stations,1
16,1/17/17,31.1,36.78538,-119.77321,Monitoring Stations,1
17,1/18/17,18.4,36.78538,-119.77321,Monitoring Stations,1
18,1/19/17,4.3,36.78538,-119.77321,Monitoring Stations,1
19,1/20/17,3.9,36.78538,-119.77321,Monitoring Stations,1
20,1/21/17,6.1,36.78538,-119.77321,Monitoring Stations,1
21,1/22/17,1,36.78538,-119.77321,Monitoring Stations,1
22,1/31/17,40,36.78538,-119.77321,Monitoring Stations,1
23,2/1/17,34.9,36.78538,-119.77321,Monitoring Stations,1
24,2/2/17,15.1,36.78538,-119.77321,Monitoring Stations,1
25,2/3/17,6.4,36.78538,-119.77321,Monitoring Stations,1
26,2/4/17,12.1,36.78538,-119.77321,Monitoring Stations,1
27,2/5/17,10.9,36.78538,-119.77321,Monitoring Stations,1
28,2/6/17,2.7,36.78538,-119.77321,Monitoring Stations,1
29,2/7/17,2.2,36.78538,-119.77321,Monitoring Stations,1
30,2/8/17,4.1,36.78538,-119.77321,Monitoring Stations,1
31,2/9/17,6.8,36.78538,-119.77321,Monitoring Stations,1
32,2/10/17,4.4,36.78538,-119.77321,Monitoring Stations,1
33,2/11/17,5.4,36.78538,-119.77321,Monitoring Stations,1
34,2/12/17,14.1,36.78538,-119.77321,Monitoring Stations,1
35,2/14/17,15.6,36.78538,-119.77321,Monitoring Stations,1
